Year	Segment	Category	Sub-Category	Sales	Profit
2014	Consumer	Furniture	Bookcases	181.47	-320.60
2014	Consumer	Technology	Phones	699.93	181.98
2014	Consumer	Office Supplies	Art	22.96	6.66
2014	Consumer	Furniture	Furnishings	38.60	11.58
2014	Consumer	Office Supplies	Art	6.63	1.79
2014	Consumer	Office Supplies	Envelopes	23.34	10.97
2014	Consumer	Furniture	Chairs	"1,067.94"	224.27
2014	Consumer	Office Supplies	Paper	19.36	9.29
2014	Consumer	Furniture	Furnishings	19.30	5.79
2014	Consumer	Office Supplies	Storage	13.98	4.05
2014	Consumer	Furniture	Furnishings	272.94	30.02
2014	Consumer	Office Supplies	Binders	19.05	8.95
2014	Consumer	Office Supplies	Appliances	247.72	93.58
2014	Consumer	Office Supplies	Storage	66.58	15.98
2014	Consumer	Office Supplies	Art	43.92	12.74
2014	Consumer	Furniture	Furnishings	14.73	4.86
2014	Consumer	Office Supplies	Binders	29.70	13.37
2014	Corporate	Office Supplies	Binders	67.19	-51.52
2014	Consumer	Furniture	Furnishings	25.25	4.10
2014	Consumer	Office Supplies	Paper	40.08	19.24
2014	Consumer	Office Supplies	Fasteners	5.94	0.00
2014	Home Office	Furniture	Furnishings	62.82	30.78
2014	Home Office	Office Supplies	Storage	489.92	0.00
2014	Home Office	Office Supplies	Paper	19.44	9.33
2014	Home Office	Office Supplies	Paper	16.68	8.34
2014	Home Office	Technology	Phones	155.35	0.00
2014	Home Office	Furniture	Furnishings	12.42	4.47
2014	Home Office	Technology	Phones	187.98	52.63
2014	Corporate	Office Supplies	Binders	10.68	5.02
2014	Corporate	Furniture	Bookcases	141.96	39.75
2014	Consumer	Office Supplies	Storage	57.23	14.31
2014	Consumer	Furniture	Tables	333.00	-16.65
2014	Consumer	Office Supplies	Art	36.44	12.03
2014	Consumer	Office Supplies	Binders	3.93	1.33
2014	Consumer	Office Supplies	Paper	10.56	4.75
2014	Consumer	Office Supplies	Storage	229.94	6.90
2014	Consumer	Furniture	Bookcases	290.67	3.42
2014	Consumer	Technology	Accessories	468.90	206.32
2014	Home Office	Office Supplies	Fasteners	12.35	5.80
2014	Consumer	Office Supplies	Binders	18.34	-12.22
2014	Consumer	Technology	Phones	180.96	13.57
2014	Consumer	Office Supplies	Binders	83.84	27.25
2014	Consumer	Office Supplies	Binders	13.27	4.31
2014	Home Office	Office Supplies	Binders	82.90	29.01
2014	Home Office	Office Supplies	Paper	34.24	16.09
2014	Corporate	Office Supplies	Binders	17.25	6.04
2014	Corporate	Office Supplies	Labels	15.00	7.20
2014	Corporate	Technology	Phones	161.61	42.02
2014	Corporate	Technology	Phones	144.95	42.04
2014	Consumer	Office Supplies	Binders	8.95	-14.77
2014	Corporate	Technology	Accessories	115.36	49.60
2014	Corporate	Office Supplies	Storage	64.96	9.74
2014	Home Office	Furniture	Furnishings	14.56	5.53
2014	Consumer	Technology	Accessories	234.45	103.16
2014	Consumer	Furniture	Tables	"1,256.22"	75.37
2014	Consumer	Office Supplies	Binders	17.46	8.21
2014	Consumer	Furniture	Chairs	60.89	15.22
2014	Consumer	Office Supplies	Labels	14.94	6.87
2014	Consumer	Office Supplies	Binders	9.64	4.43
2014	Consumer	Furniture	Furnishings	332.94	53.27
2014	Consumer	Office Supplies	Binders	51.90	24.39
2014	Consumer	Office Supplies	Storage	64.96	2.60
2014	Consumer	Furniture	Chairs	129.57	-24.29
2014	Consumer	Office Supplies	Paper	16.18	6.07
2014	Corporate	Technology	Accessories	239.97	86.39
2014	Corporate	Office Supplies	Appliances	81.96	22.95
2014	Corporate	Office Supplies	Supplies	238.62	4.77
2014	Corporate	Office Supplies	Binders	21.36	7.21
2014	Consumer	Office Supplies	Binders	1.08	-1.73
2014	Consumer	Office Supplies	Appliances	7.96	-13.93
2014	Consumer	Office Supplies	Art	54.21	8.81
2014	Consumer	Furniture	Furnishings	25.16	-11.32
2014	Consumer	Office Supplies	Storage	12.62	-2.52
2014	Corporate	Technology	Accessories	62.31	22.43
2014	Corporate	Furniture	Furnishings	20.32	6.91
2014	Home Office	Office Supplies	Paper	12.96	6.22
2014	Consumer	Office Supplies	Binders	8.85	-13.72
2014	Consumer	Office Supplies	Paper	19.44	9.33
2014	Home Office	Office Supplies	Labels	6.94	2.34
2014	Home Office	Office Supplies	Binders	4.43	-6.86
2014	Consumer	Office Supplies	Paper	32.90	11.10
2014	Consumer	Office Supplies	Paper	22.78	7.69
2014	Consumer	Office Supplies	Art	19.46	3.40
2014	Consumer	Furniture	Chairs	457.57	51.48
2014	Home Office	Technology	Phones	5.94	1.60
2014	Home Office	Furniture	Chairs	634.12	-172.12
2014	Home Office	Office Supplies	Paper	17.47	5.68
2014	Consumer	Office Supplies	Fasteners	18.84	-3.53
2014	Consumer	Furniture	Chairs	362.25	0.00
2014	Consumer	Furniture	Furnishings	63.55	-34.95
2014	Consumer	Office Supplies	Storage	129.55	-22.67
2014	Consumer	Office Supplies	Storage	137.35	8.58
2014	Consumer	Furniture	Tables	376.51	-43.03
2014	Home Office	Office Supplies	Envelopes	11.36	5.34
2014	Home Office	Office Supplies	Paper	36.40	17.47
2014	Corporate	Office Supplies	Paper	3.42	1.07
2014	Corporate	Technology	Accessories	151.20	32.13
2014	Consumer	Office Supplies	Art	19.46	3.40
2014	Home Office	Technology	Phones	9.99	4.60
2014	Home Office	Office Supplies	Binders	125.76	40.87
2014	Home Office	Office Supplies	Binders	25.32	9.18
2014	Corporate	Office Supplies	Labels	15.12	4.91
2014	Corporate	Furniture	Bookcases	302.45	-199.62
2014	Corporate	Office Supplies	Storage	44.67	-10.05
2014	Consumer	Office Supplies	Appliances	176.77	-459.61
2014	Consumer	Furniture	Tables	626.35	-23.49
2014	Consumer	Office Supplies	Storage	354.90	17.75
2014	Consumer	Office Supplies	Art	15.55	2.33
2014	Consumer	Office Supplies	Art	59.52	15.48
2014	Consumer	Technology	Accessories	479.97	177.59
2014	Consumer	Office Supplies	Supplies	18.62	5.40
2014	Consumer	Office Supplies	Binders	49.63	16.75
2014	Consumer	Office Supplies	Paper	97.82	45.98
2014	Consumer	Furniture	Chairs	48.71	5.48
2014	Consumer	Office Supplies	Art	17.94	4.66
2014	Consumer	Office Supplies	Storage	242.94	4.86
2014	Home Office	Office Supplies	Binders	107.65	33.64
2014	Corporate	Office Supplies	Art	20.65	9.50
2014	Corporate	Office Supplies	Storage	204.90	0.00
2014	Corporate	Furniture	Chairs	436.70	21.84
2014	Corporate	Furniture	Chairs	481.57	54.18
2014	Consumer	Office Supplies	Paper	22.38	10.74
2014	Consumer	Office Supplies	Storage	636.41	-15.91
2014	Consumer	Office Supplies	Art	83.17	9.36
2014	Consumer	Furniture	Furnishings	8.32	2.29
2014	Consumer	Office Supplies	Fasteners	10.46	1.70
2014	Consumer	Office Supplies	Paper	108.92	49.01
2014	Corporate	Office Supplies	Appliances	146.76	38.16
2014	Corporate	Technology	Accessories	32.96	14.17
2014	Corporate	Technology	Phones	587.97	164.63
2014	Corporate	Office Supplies	Paper	14.94	7.02
2014	Consumer	Office Supplies	Art	7.98	2.07
2014	Corporate	Office Supplies	Paper	10.56	4.75
2014	Corporate	Office Supplies	Art	3.38	1.25
2014	Home Office	Furniture	Chairs	"1,139.92"	284.98
2014	Consumer	Office Supplies	Binders	33.09	11.17
2014	Consumer	Office Supplies	Storage	80.98	3.24
2014	Consumer	Technology	Accessories	82.80	6.62
2014	Consumer	Office Supplies	Storage	21.36	5.77
2014	Consumer	Office Supplies	Binders	62.05	20.17
2014	Home Office	Technology	Machines	574.91	156.05
2014	Home Office	Office Supplies	Paper	8.45	2.64
2014	Home Office	Office Supplies	Paper	91.06	31.87
2014	Consumer	Office Supplies	Storage	142.78	17.85
2014	Consumer	Furniture	Furnishings	45.70	5.14
2014	Consumer	Office Supplies	Binders	7.22	-5.53
2014	Consumer	Office Supplies	Binders	43.19	-31.67
2014	Consumer	Office Supplies	Paper	131.90	47.82
2014	Home Office	Technology	Phones	471.92	29.50
2014	Consumer	Office Supplies	Appliances	93.78	36.57
2014	Consumer	Office Supplies	Paper	47.18	23.59
2014	Consumer	Office Supplies	Art	19.68	5.71
2014	Consumer	Office Supplies	Binders	53.40	25.10
2014	Consumer	Office Supplies	Binders	35.88	17.22
2014	Corporate	Furniture	Tables	"1,579.75"	-447.59
2014	Corporate	Furniture	Tables	"1,071.58"	-553.65
2014	Corporate	Furniture	Tables	613.91	-122.78
2014	Corporate	Office Supplies	Paper	34.86	16.38
2014	Corporate	Office Supplies	Paper	155.04	75.97
2014	Consumer	Office Supplies	Art	4.45	0.33
2014	Consumer	Office Supplies	Paper	5.18	1.88
2014	Consumer	Office Supplies	Paper	15.55	5.44
2014	Corporate	Office Supplies	Binders	11.43	5.37
2014	Corporate	Office Supplies	Binders	30.44	14.92
2014	Corporate	Office Supplies	Paper	12.96	6.35
2014	Corporate	Office Supplies	Paper	16.00	7.68
2014	Corporate	Office Supplies	Appliances	32.67	8.49
2014	Corporate	Office Supplies	Paper	126.62	41.15
2014	Home Office	Technology	Machines	821.30	-16.43
2014	Home Office	Technology	Machines	"22,638.48"	-1811.08
2014	Home Office	Office Supplies	Paper	21.38	7.48
2014	Home Office	Office Supplies	Art	8.02	1.00
2014	Home Office	Furniture	Furnishings	30.77	8.08
2014	Home Office	Office Supplies	Fasteners	18.94	5.92
2014	Home Office	Furniture	Furnishings	122.35	15.29
2014	Home Office	Furniture	Bookcases	"1,198.33"	70.49
2014	Home Office	Furniture	Furnishings	111.00	14.43
2014	Home Office	Technology	Machines	"1,279.97"	415.99
2014	Home Office	Office Supplies	Storage	"1,856.19"	334.11
2014	Corporate	Technology	Phones	323.98	28.35
2014	Corporate	Office Supplies	Labels	11.81	3.99
2014	Corporate	Office Supplies	Storage	26.16	1.96
2014	Corporate	Office Supplies	Binders	33.57	-25.74
2014	Corporate	Furniture	Furnishings	4.99	1.37
2014	Corporate	Furniture	Furnishings	20.02	5.50
2014	Corporate	Technology	Accessories	170.24	53.20
2014	Consumer	Office Supplies	Art	7.41	1.20
2014	Consumer	Office Supplies	Art	6.05	1.59
2014	Corporate	Office Supplies	Storage	16.27	-3.86
2014	Corporate	Technology	Phones	"3,499.93"	909.98
2014	Corporate	Office Supplies	Labels	14.40	6.62
2014	Corporate	Office Supplies	Paper	122.97	60.26
2014	Corporate	Office Supplies	Art	9.32	2.70
2014	Corporate	Office Supplies	Binders	122.94	59.01
2014	Consumer	Office Supplies	Labels	59.20	22.20
2014	Consumer	Furniture	Furnishings	32.95	6.59
2014	Consumer	Furniture	Chairs	218.38	-10.92
2014	Consumer	Office Supplies	Binders	7.64	-5.86
2014	Consumer	Office Supplies	Binders	51.47	-39.46
2014	Corporate	Office Supplies	Paper	74.35	23.24
2014	Corporate	Furniture	Chairs	314.35	-35.36
2014	Consumer	Office Supplies	Art	16.28	6.51
2014	Consumer	Office Supplies	Storage	330.40	85.90
2014	Consumer	Technology	Phones	604.75	37.80
2014	Consumer	Office Supplies	Labels	9.91	3.22
2014	Consumer	Office Supplies	Paper	24.90	11.70
2014	Consumer	Furniture	Furnishings	40.48	14.57
2014	Consumer	Furniture	Chairs	366.79	65.21
2014	Consumer	Office Supplies	Art	6.56	1.90
2014	Consumer	Office Supplies	Art	14.88	3.72
2014	Consumer	Technology	Accessories	45.48	15.92
2014	Consumer	Office Supplies	Art	25.44	9.92
2014	Corporate	Technology	Accessories	66.30	8.62
2014	Corporate	Office Supplies	Art	3.36	0.84
2014	Corporate	Office Supplies	Binders	27.94	9.43
2014	Corporate	Technology	Phones	28.78	2.88
2014	Consumer	Office Supplies	Labels	18.75	9.00
2014	Consumer	Office Supplies	Envelopes	6.12	2.88
2014	Consumer	Furniture	Tables	"1,184.72"	106.62
2014	Home Office	Technology	Phones	302.38	22.68
2014	Home Office	Furniture	Tables	330.59	-143.25
2014	Consumer	Furniture	Tables	890.84	-152.72
2014	Consumer	Office Supplies	Art	49.65	20.85
2014	Corporate	Office Supplies	Storage	15.84	0.00
2014	Corporate	Office Supplies	Labels	44.40	22.20
2014	Corporate	Office Supplies	Art	10.50	2.94
2014	Consumer	Furniture	Bookcases	205.67	-12.10
2014	Home Office	Office Supplies	Envelopes	335.72	113.31
2014	Home Office	Technology	Phones	251.94	88.18
2014	Home Office	Furniture	Chairs	127.30	-9.09
2014	Consumer	Office Supplies	Storage	129.30	6.47
2014	Consumer	Office Supplies	Binders	673.57	252.59
2014	Consumer	Office Supplies	Appliances	52.98	14.83
2014	Consumer	Office Supplies	Binders	0.85	-0.60
2014	Consumer	Office Supplies	Binders	8.13	-13.83
2014	Consumer	Technology	Accessories	79.98	14.00
2014	Corporate	Office Supplies	Binders	1.87	-1.31
2014	Consumer	Furniture	Chairs	"1,125.49"	98.48
2014	Consumer	Office Supplies	Binders	12.65	-10.12
2014	Consumer	Office Supplies	Art	4.03	1.06
2014	Consumer	Office Supplies	Labels	29.60	14.80
2014	Consumer	Office Supplies	Binders	17.09	5.55
2014	Corporate	Office Supplies	Storage	66.96	2.68
2014	Corporate	Office Supplies	Binders	6.24	3.06
2014	Consumer	Office Supplies	Paper	15.84	7.13
2014	Consumer	Technology	Phones	"1,049.93"	293.98
2014	Consumer	Office Supplies	Appliances	154.90	40.27
2014	Consumer	Office Supplies	Paper	26.72	9.35
2014	Consumer	Office Supplies	Paper	33.49	10.47
2014	Corporate	Furniture	Furnishings	177.68	46.20
2014	Corporate	Office Supplies	Envelopes	11.16	5.58
2014	Corporate	Technology	Accessories	62.31	22.43
2014	Corporate	Technology	Accessories	159.98	57.59
2014	Home Office	Office Supplies	Labels	18.90	9.07
2014	Consumer	Furniture	Furnishings	5.47	2.35
2014	Consumer	Office Supplies	Art	79.36	23.81
2014	Corporate	Office Supplies	Binders	7.18	2.25
2014	Corporate	Office Supplies	Storage	232.55	9.30
2014	Corporate	Technology	Accessories	99.98	42.99
2014	Corporate	Office Supplies	Paper	19.44	9.33
2014	Corporate	Office Supplies	Paper	12.96	6.35
2014	Home Office	Office Supplies	Paper	55.48	26.63
2014	Corporate	Office Supplies	Art	22.96	7.58
2014	Corporate	Technology	Phones	28.99	8.41
2014	Corporate	Office Supplies	Paper	12.96	6.35
2014	Corporate	Office Supplies	Art	22.96	6.66
2014	Corporate	Office Supplies	Supplies	"4,164.05"	83.28
2014	Corporate	Office Supplies	Storage	49.63	3.72
2014	Corporate	Office Supplies	Storage	52.10	3.91
2014	Consumer	Office Supplies	Art	26.70	7.48
2014	Consumer	Office Supplies	Binders	40.20	18.09
2014	Consumer	Office Supplies	Art	13.89	4.58
2014	Consumer	Office Supplies	Storage	689.82	20.69
2014	Corporate	Office Supplies	Binders	115.36	56.53
2014	Corporate	Office Supplies	Binders	44.91	-35.93
2014	Home Office	Office Supplies	Supplies	10.30	-2.19
2014	Home Office	Furniture	Tables	154.76	-36.11
2014	Home Office	Technology	Accessories	116.78	21.90
2014	Corporate	Furniture	Tables	653.55	111.10
2014	Corporate	Technology	Accessories	33.90	2.03
2014	Corporate	Furniture	Furnishings	91.96	15.63
2014	Corporate	Furniture	Furnishings	33.11	12.91
2014	Corporate	Office Supplies	Paper	19.44	9.33
2014	Corporate	Office Supplies	Paper	55.48	26.63
2014	Corporate	Office Supplies	Art	70.95	18.45
2014	Corporate	Office Supplies	Binders	65.57	23.77
2014	Corporate	Technology	Accessories	299.97	131.99
2014	Consumer	Furniture	Furnishings	8.96	2.78
2014	Corporate	Technology	Phones	629.95	163.79
2014	Corporate	Office Supplies	Paper	122.97	60.26
2014	Home Office	Office Supplies	Paper	58.32	27.99
2014	Home Office	Technology	Phones	200.97	50.24
2014	Corporate	Office Supplies	Fasteners	2.37	0.83
2014	Corporate	Office Supplies	Paper	19.01	6.89
2014	Corporate	Furniture	Tables	"1,215.92"	316.14
2014	Home Office	Office Supplies	Fasteners	49.79	-11.83
2014	Home Office	Furniture	Tables	99.59	2.49
2014	Home Office	Technology	Accessories	399.96	139.99
2014	Consumer	Furniture	Tables	172.11	-94.66
2014	Consumer	Office Supplies	Fasteners	6.91	2.33
2014	Consumer	Technology	Accessories	383.98	81.59
2014	Consumer	Office Supplies	Paper	10.37	3.63
2014	Consumer	Technology	Accessories	335.94	41.99
2014	Consumer	Office Supplies	Binders	9.58	3.35
2014	Home Office	Technology	Phones	758.35	265.42
2014	Consumer	Office Supplies	Storage	87.08	24.38
2014	Consumer	Technology	Phones	105.58	9.24
2014	Consumer	Technology	Accessories	217.44	91.32
2014	Corporate	Technology	Phones	"1,075.09"	94.07
2014	Corporate	Technology	Phones	438.37	38.36
2014	Corporate	Office Supplies	Binders	18.09	6.56
2014	Corporate	Furniture	Bookcases	308.50	-18.15
2014	Consumer	Office Supplies	Paper	32.40	15.55
2014	Corporate	Office Supplies	Art	39.68	16.27
2014	Corporate	Office Supplies	Art	17.86	1.12
2014	Corporate	Office Supplies	Binders	509.97	-407.98
2014	Corporate	Office Supplies	Fasteners	30.99	10.07
2014	Corporate	Technology	Phones	71.93	8.39
2014	Home Office	Office Supplies	Labels	7.83	3.60
2014	Home Office	Office Supplies	Appliances	106.96	31.02
2014	Home Office	Furniture	Furnishings	187.76	76.98
2014	Corporate	Office Supplies	Art	39.07	9.77
2014	Consumer	Technology	Machines	287.97	97.19
2014	Consumer	Office Supplies	Art	13.12	3.80
2014	Consumer	Office Supplies	Art	10.75	3.55
2014	Consumer	Office Supplies	Fasteners	11.62	3.60
2014	Consumer	Office Supplies	Art	2.69	1.01
2014	Consumer	Furniture	Chairs	317.06	-18.12
2014	Consumer	Office Supplies	Envelopes	149.35	50.41
2014	Consumer	Technology	Accessories	227.98	28.50
2014	Home Office	Furniture	Furnishings	76.14	26.65
2014	Consumer	Office Supplies	Binders	58.05	26.70
2014	Consumer	Office Supplies	Paper	71.28	34.21
2014	Consumer	Furniture	Tables	744.10	-95.67
2014	Consumer	Office Supplies	Storage	44.84	5.61
2014	Consumer	Furniture	Tables	401.59	-131.95
2014	Consumer	Furniture	Furnishings	59.92	27.56
2014	Consumer	Office Supplies	Binders	16.52	5.58
2014	Corporate	Office Supplies	Storage	828.84	0.00
2014	Corporate	Office Supplies	Envelopes	247.84	121.44
2014	Corporate	Office Supplies	Binders	9.91	3.35
2014	Corporate	Office Supplies	Binders	2.50	-1.75
2014	Home Office	Furniture	Chairs	281.37	-12.06
2014	Home Office	Furniture	Chairs	281.37	-12.06
2014	Home Office	Office Supplies	Binders	7.49	-5.24
2014	Home Office	Furniture	Furnishings	22.34	7.82
2014	Home Office	Office Supplies	Paper	48.91	22.99
2014	Home Office	Office Supplies	Paper	10.37	3.63
2014	Home Office	Office Supplies	Art	6.24	0.55
2014	Consumer	Technology	Phones	302.38	37.80
2014	Home Office	Furniture	Furnishings	303.25	63.68
2014	Home Office	Office Supplies	Appliances	270.72	78.51
2014	Home Office	Furniture	Chairs	"1,487.04"	148.70
2014	Corporate	Furniture	Chairs	230.28	23.03
2014	Corporate	Office Supplies	Binders	18.29	5.72
2014	Home Office	Office Supplies	Art	21.40	6.21
2014	Home Office	Office Supplies	Labels	12.60	5.80
2014	Corporate	Office Supplies	Binders	20.86	9.39
2014	Corporate	Office Supplies	Storage	497.61	129.38
2014	Corporate	Office Supplies	Art	5.34	1.50
2014	Corporate	Office Supplies	Labels	3.15	1.51
2014	Corporate	Office Supplies	Labels	6.91	2.51
2014	Corporate	Office Supplies	Storage	27.10	2.03
2014	Corporate	Office Supplies	Storage	177.57	-37.73
2014	Consumer	Technology	Phones	"1,679.96"	126.00
2014	Corporate	Technology	Accessories	159.98	57.59
2014	Consumer	Furniture	Furnishings	17.46	5.94
2014	Consumer	Furniture	Chairs	51.96	12.99
2014	Consumer	Office Supplies	Binders	17.94	8.61
2014	Corporate	Furniture	Chairs	561.58	70.20
2014	Corporate	Office Supplies	Storage	99.92	-1.25
2014	Consumer	Technology	Phones	19.98	5.19
2014	Consumer	Technology	Accessories	47.79	16.25
2014	Consumer	Office Supplies	Art	174.95	45.49
2014	Consumer	Office Supplies	Storage	826.00	214.76
2014	Consumer	Office Supplies	Appliances	26.14	1.96
2014	Consumer	Technology	Copiers	479.98	90.00
2014	Home Office	Office Supplies	Labels	21.56	10.35
2014	Consumer	Office Supplies	Binders	40.18	14.56
2014	Consumer	Office Supplies	Binders	10.90	3.95
2014	Consumer	Office Supplies	Binders	46.80	21.06
2014	Consumer	Furniture	Furnishings	27.46	9.89
2014	Consumer	Office Supplies	Art	37.84	2.84
2014	Consumer	Office Supplies	Fasteners	5.47	1.85
2014	Corporate	Furniture	Furnishings	12.18	3.90
2014	Corporate	Office Supplies	Appliances	57.68	19.03
2014	Consumer	Office Supplies	Paper	9.42	4.24
2014	Consumer	Office Supplies	Art	6.56	1.90
2014	Consumer	Office Supplies	Paper	24.56	11.54
2014	Consumer	Furniture	Chairs	127.87	-9.13
2014	Corporate	Office Supplies	Storage	45.25	3.96
2014	Corporate	Office Supplies	Binders	11.88	5.35
2014	Corporate	Office Supplies	Paper	35.44	16.66
2014	Home Office	Office Supplies	Binders	140.74	52.78
2014	Home Office	Office Supplies	Labels	5.78	2.72
2014	Home Office	Office Supplies	Art	107.94	30.22
2014	Consumer	Office Supplies	Binders	16.14	7.91
2014	Consumer	Furniture	Tables	194.25	-38.85
2014	Consumer	Office Supplies	Art	8.64	2.51
2014	Consumer	Furniture	Chairs	872.32	244.25
2014	Consumer	Technology	Copiers	"1,799.97"	240.00
2014	Consumer	Technology	Accessories	67.80	4.07
2014	Consumer	Technology	Accessories	167.97	40.31
2014	Corporate	Office Supplies	Storage	83.25	14.99
2014	Corporate	Office Supplies	Labels	9.45	4.54
2014	Corporate	Office Supplies	Labels	20.65	9.50
2014	Corporate	Office Supplies	Paper	45.36	21.77
2014	Consumer	Office Supplies	Envelopes	158.13	77.48
2014	Consumer	Technology	Phones	43.60	4.36
2014	Consumer	Furniture	Bookcases	349.97	-216.98
2014	Consumer	Office Supplies	Art	22.32	5.30
2014	Consumer	Office Supplies	Paper	39.96	19.18
2014	Consumer	Technology	Phones	"1,432.00"	125.30
2014	Consumer	Office Supplies	Supplies	41.04	11.08
2014	Consumer	Furniture	Chairs	256.78	32.10
2014	Consumer	Technology	Accessories	58.11	7.26
2014	Consumer	Technology	Phones	100.79	6.30
2014	Consumer	Furniture	Furnishings	66.11	-84.29
2014	Consumer	Technology	Accessories	46.86	7.62
2014	Corporate	Office Supplies	Appliances	35.91	9.70
2014	Corporate	Furniture	Chairs	"1,212.96"	-69.31
2014	Home Office	Office Supplies	Paper	17.47	5.68
2014	Home Office	Office Supplies	Binders	104.58	-172.56
2014	Consumer	Furniture	Furnishings	34.79	10.78
2014	Consumer	Furniture	Tables	700.06	-130.01
2014	Consumer	Office Supplies	Storage	55.50	9.99
2014	Home Office	Office Supplies	Fasteners	7.10	2.40
2014	Home Office	Office Supplies	Binders	398.35	-331.96
2014	Consumer	Technology	Accessories	149.97	52.49
2014	Corporate	Furniture	Chairs	279.46	20.96
2014	Corporate	Office Supplies	Paper	8.00	3.84
2014	Corporate	Furniture	Furnishings	310.88	23.32
2014	Corporate	Furniture	Chairs	232.88	17.47
2014	Consumer	Technology	Accessories	56.40	3.38
2014	Home Office	Office Supplies	Binders	91.68	45.84
2014	Consumer	Technology	Phones	779.80	-168.96
2014	Consumer	Furniture	Furnishings	149.23	3.73
2014	Consumer	Office Supplies	Paper	15.94	5.78
2014	Consumer	Office Supplies	Paper	3.98	1.44
2014	Consumer	Office Supplies	Binders	57.42	26.41
2014	Consumer	Office Supplies	Supplies	34.20	9.23
2014	Corporate	Office Supplies	Appliances	33.28	9.32
2014	Corporate	Office Supplies	Art	38.52	11.94
2014	Corporate	Furniture	Furnishings	139.86	60.14
2014	Corporate	Furniture	Furnishings	10.33	-5.94
2014	Corporate	Office Supplies	Paper	10.37	3.63
2014	Corporate	Technology	Accessories	20.78	-3.64
2014	Corporate	Office Supplies	Storage	66.96	-13.39
2014	Corporate	Office Supplies	Binders	"2,715.93"	1276.49
2014	Corporate	Technology	Phones	617.97	173.03
2014	Home Office	Office Supplies	Art	31.84	10.51
2014	Home Office	Office Supplies	Binders	447.86	219.45
2014	Home Office	Office Supplies	Paper	17.94	8.79
2014	Home Office	Office Supplies	Appliances	245.88	68.85
2014	Consumer	Office Supplies	Envelopes	56.06	21.02
2014	Consumer	Furniture	Chairs	107.77	-29.25
2014	Consumer	Office Supplies	Paper	4.83	1.63
2014	Consumer	Office Supplies	Binders	18.24	-31.01
2014	Consumer	Technology	Phones	135.98	34.00
2014	Consumer	Technology	Phones	44.95	12.59
2014	Consumer	Office Supplies	Binders	3.28	-2.63
2014	Consumer	Office Supplies	Art	21.17	2.38
2014	Consumer	Technology	Phones	55.19	-10.12
2014	Consumer	Office Supplies	Paper	12.96	6.22
2014	Consumer	Office Supplies	Binders	17.96	5.84
2014	Consumer	Office Supplies	Supplies	5.04	0.15
2014	Consumer	Office Supplies	Appliances	208.16	56.20
2014	Consumer	Office Supplies	Paper	116.28	56.98
2014	Consumer	Office Supplies	Appliances	75.60	-166.32
2014	Consumer	Furniture	Furnishings	29.32	-24.19
2014	Consumer	Office Supplies	Paper	14.62	6.73
2014	Corporate	Furniture	Bookcases	290.67	27.36
2014	Corporate	Technology	Phones	201.58	20.16
2014	Corporate	Technology	Phones	83.98	31.49
2014	Consumer	Furniture	Chairs	225.30	22.53
2014	Home Office	Office Supplies	Paper	48.40	23.23
2014	Consumer	Office Supplies	Storage	102.62	7.70
